EU num;Eurostag Name;nInputPins;Modelica model;param 1;param 2;param 3;param 4;param 5;param 6;offset;init_value;NOTES
33; DELAY_1;1;PowerSystems.NonElectrical.Nonlinear.ImDelay_1;T;;;;;;;;
34; LN;1;PowerSystems.NonElectrical.Math.ImLN;a1;;;;;;a0;;
35; DIVIDER;2;PowerSystems.NonElectrical.Math.ImDiv2;a1;a2;;;;;a0;nStartValue;
36; INVERSE_FUNCTION;1;PowerSystems.NonElectrical.ImInverseFunction;v;;;;;;;;
37; SET-RESET;2;PowerSystems.NonElectrical.Math.ImSetReset;;;;;;;;nStartValue;
38; RESET-SET;2;PowerSystems.NonElectrical.Math.ImResetSet;;;;;;;;nStartValue;
39; SECOND_ORDER;1;PowerSystems.NonElectrical.Continuous.ImSecondOrder;A0;A1;A2;B1;B2;;;pStartValue;
40; INTEGRATOR-FOLLOWER;3;PowerSystems.NonElectrical.Continuous.ImIntegratorFollower;K;T;;;;;;nStartValue;
41; PULSE;1;PowerSystems.NonElectrical.Nonlinear.ImPulse;S;T;;;;;;;
42; COSINE;1;PowerSystems.NonElectrical.Math.ImCosine;;;;;;;;;
43; SINE;1;PowerSystems.NonElectrical.Math.ImSine;;;;;;;;;
44; TANGENT;;;;;;;;;;;
45; ARC –TANGENT;2;PowerSystems.NonElectrical.Math.ImArcTangent;;;;;;;offset;;
46; ARC-COSINE;;;;;;;;;;;
47; ARC-SINE;;;;;;;;;;;
48; COUNTER;;;;;;;;;;;
49; REFER_FREQ;;;;;;;;;;;
50; FIELD_CURRENT;;;;;;;;;;;
51; LIMITED-LEAD-LAG;1;PowerSystems.NonElectrical.Continuous.ImLimitedLeadLag;YMAX;K;T1;T2;YMIN;;;nStartValue;
52; RELAY-DELAY;;;;;;;;;;;
54; I2R;;;;;;;;;;;
55; I2I;;;;;;;;;;;
56; P2;;;;;;;;;;;
57; STATOR-STATUS;;;;;;;;;;;
58; FUNCTION_XY;;;;;;;;;;;
59; VOLTAGE-ANGLE;;;;;;;;;;;
60; CURRENT;;;;;;;;;;;
61; CURRENT ANGLE;;;;;;;;;;;
62; B;;;;;;;;;;;
63; G;;;;;;;;;;;
64; TRANSFORMER-TAP;;;;;;;;;;;
65; BANK-STEPS;;;;;;;;;;;
66; INTERNAL-ANGLE;;;;;;;;;;;
67; ELEC-TORQUE;;;;;;;;;;;
68; DELAY;1;PowerSystems.NonElectrical.Continuous.ImDelay;x1;x2;;;;;;;
69; TIMER;1;PowerSystems.NonElectrical.Nonlinear.ImTimer;mode;;;;;;;;
70; ABOVE LINE;;;;;;;;;;;
71; INSIDE ELLIPSE;;;;;;;;;;;
72; INSIDE-POLYGON;;;;;;;;;;;
73; STATUS;;;;;;;;;;;
